 	name	group
0	"Riccardo Gonzo"	1
1	"Tristan McLoughlin"	2
2	"Diego Medrano"	2
3	"Anne Spiering"	2
4	"Shamik Banerjee"	2
5	"Sudip Ghosh"	2
6	"Andrzej Pokraka"	2
7	"Andrea Cristofoli"	2
8	"David A. Kosower"	2
9	"Donal O’Connell"	2
10	"Canxin Shi"	2
11	"Ruth Britto"	2
12	"Guy R. Jehu"	2
13	"Nathan Moynihan"	2
14	"Alasdair Ross"	2
15	"Matteo Sergola"	2
16	"Chris D. White"	2
17	"Andrea Puhm"	2
18	"Tim Adamo"	2
19	"Anton Ilderton"	2
20	"Stefano De Angelis"	2
21	"Pavel P. Novichkov"	2
22	"Jack Lewis"	2
23	"Adam Pound"	2
24	"Dogan Akpinar"	2
25	"Vittorio Del Duca"	2
26	"Francesco Alessio"	2
27	"Graham R. Brown"	2
28	"Mao Zeng"	2
29	"Emanuele Rosi"	2
30	"Ira Z. Rothstein"	2
31	"Michael Saavedra"	2
33	"Asymptotic charges and coherent states in QCD"	4
34	"BMS symmetry of celestial OPE"	4
35	"Light-ray operators, detectors and gravitational event shapes"	4
36	"Waveforms from amplitudes"	4
37	"Geodesics from classical double copy"	4
38	"Graviton particle statistics and coherent states from classical scattering amplitudes"	4
39	"The uncertainty principle and classical amplitudes"	4
40	"Celestial holography on Kerr-Schild backgrounds"	4
41	"Bethe-Salpeter equation for classical gravitational bound states"	4
42	"Boundary to bound dictionary for generic Kerr orbits"	4
43	"Wave scattering event shapes at high energies"	4
44	"Spinning waveforms from the Kosower–Maybee–O’Connell formalism at leading order"	4
45	"Gravitational bound waveforms from amplitudes"	4
46	"Scattering and Bound Observables for Spinning Particles in Kerr Spacetime with Generic Spin Orientations"	4
47	"First Law of Binary Black Hole Scattering"	4
48	"The spinning self-force EFT: 1SF waveform recursion relation and Compton scattering"	4
49	"Dirac brackets for classical radiative observables"	4
50	"Unexpected Symmetries of Kerr Black Hole Scattering"	3
51	"Analytic structure of the high-energy gravitational amplitude: multi-H diagrams and classical 5PM logarithms"	3
52	"Gravitational amplitudes in the Regge limit: waveforms, shock waves and unitarity cuts"	3
